Offers,Category
"Get up to 10,000 INR off on vacation packages to popular destinations like Goa, Kerala, and Rajasthan.",Vacations
Book your vacation within the next 48 hours and receive a 15% discount on your total package price.,Vacations
"Take advantage of our limited time offer and receive 20,000 INR off on our top vacation packages, including Bali, Thailand, and Maldives.",Vacations
"Book an all-inclusive vacation package for as low as 25,000 INR per person.",Vacations
Save 10% on group vacation packages for four or more travelers.,Vacations
"Celebrate your honeymoon with our romantic getaway package, starting at 35,000 INR per couple.",Vacations
"Upgrade to a luxury vacation package and receive a discount of up to 15,000 INR.",Vacations
"Experience adventure travel like never before with our 7-day hiking and camping trip for just 18,000 INR per person.",Vacations
"Book your airfare and accommodations together and save up to 12,000 INR on your vacation package.",Vacations
"Enjoy the beauty of off-season travel with our special vacation packages starting at just 12,000 INR per person.",Vacations
"Enjoy a 5-day all-inclusive vacation package to Goa for INR 25,000 per person, including flights, accommodation, meals, and activities.",Vacations
"Book a 3-day stay at a luxury resort in Kerala for INR 15,000 per person, including breakfast, spa treatments, and a guided tour of the backwaters.",Vacations
"Take advantage of our last-minute deal and enjoy a 4-day vacation to Rajasthan for INR 20,000 per person, including accommodation, meals, and sightseeing tours.",Vacations
"Plan a family getaway to Jaipur and stay at a 4-star hotel for INR 10,000 per person, including breakfast and entrance to major attractions.",Vacations
"Spend a week in the picturesque hill station of Shimla for INR 30,000 per person, including flights, accommodation, meals, and a guided tour of the town.",Vacations
"Book a 2-day stay at a luxury spa resort in Rishikesh for INR 12,000 per person, including accommodation, meals, and yoga classes.",Vacations
"Explore the scenic beauty of the Andaman and Nicobar Islands with our 7-day package for INR 40,000 per person, including flights, accommodation, meals, and water activities.",Vacations
Join our loyalty program and get a 10% discount on all future vacation packages.,Vacations
"Experience the charm of Udaipur with our 4-day package for INR 18,000 per person, including flights, accommodation, meals, and a private city tour.",Vacations
"Enjoy the convenience of our easy payment options, including installment plans and credit card payments.",Vacations
"Book a 3-day trip to Jaipur for 2 people at INR 12,000 only (inclusive of accommodation and local sightseeing).",Vacations
"Book 3 vacations with us and get a discount of INR 5,000 on the total booking amount.",Vacations
"Book a 3-day vacation package to Goa for 2 people at INR 20,000 only (inclusive of flights and accommodation).",Vacations
Pay for your vacation package in 3 easy installments with zero interest. No credit check required.,Vacations
"Book a 4-day vacation package to Manali during the winter season and get a discount of INR 5,000 on the total booking amount.",Vacations
Get 20% off on movie tickets when you book them online using a specific promo code.,Movies
Students and senior citizens can get a discount of 10% on movie tickets.,Movies
Book tickets for a group of 4 or more and get a 15% discount on the total price.,Movies
Refer a friend and get a free movie ticket for yourself.,Movies
Join our loyalty program and earn points for every movie ticket purchase. Redeem your points for discounts on tickets and concessions.,Movies
Purchase a subscription plan for 6 months and get 10% off on all movie tickets.,Movies
Visit our theaters during off-peak hours and get discounted tickets. Showtimes before 12 pm and after 9 pm are eligible for discounts.,Movies
Use our mobile app to book movie tickets and get 5% cashback on your total purchase.,Movies
Purchase tickets for a charity event and get a 25% discount on the ticket price.,Movies
Members of certain organizations and clubs can get a discount of 15% on movie tickets. Please present your membership card at the box office.,Movies
Military personnel and veterans can get a discount of 20% on movie tickets. Please present your military ID at the box office.,Movies
Purchase movie tickets and concessions using a cashback or discount website and get up to 50% cashback on your total purchase.,Movies
Book your movie tickets with a specific credit card and get a 10% discount on the total price.,Movies
Purchase a movie ticket and get a free popcorn or soft drink at the concession stand.,Movies
Watch a movie during weekdays and get a 20% discount on the ticket price.,Movies
Use a specific promo code when booking movie tickets online and get 15% off on the total price.,Movies
Purchase tickets for a blockbuster movie and get a free movie poster.,Movies
Get a discount of 25% on movie tickets when you book them for a morning show.,Movies
Book your movie tickets using a specific mobile wallet and get a cashback of 10% on your total purchase.,Movies
Get a discount of 15% on movie tickets when you book them for a matinee show.,Movies
Purchase a specific combo deal at the concession stand and get a discount of 30% on the total price.,Movies
Book your movie tickets for a late night show and get a 10% discount on the ticket price.,Movies
